idChamber,price,fee,space(m2),sexe,availablity,asKey,asDesk,asChair,asBed,asClimatisation,asPrivateBasin,asTv,asStorage,asLan,asPrivateKitchen,asPrivateFridge,asPrivateShower,asPrivateToilet,asSunaccess,asSomethingMore,houseId,houseUrl,region,houseName,adress,longetide,latitude,medianPrice,medianFee,numberOfBed,nbShower,nbToilet,nbBath,nbKitchen,distanceToAdvanced Institute of Industrial Technology(km),distanceToAoyama Gakuin University(km),distanceToAsia University(km),distanceToBunka Gakuen University(km),distanceToBunkyo Gakuin University(km),distanceToChuo University(km),distanceToDaito Bunka University(km),distanceToGakushuin University(km),distanceToGakushuin Women's College(km),distanceToHitotsubashi University(km),distanceToHosei University(km),distanceToHoshi University(km),distanceToInternational College for Postgraduate Buddhist Studies(km),distanceToJapan Lutheran College(km),distanceToJapan Women's University(km),distanceToJuntendo University(km),distanceToKaetsu University(km),distanceToKeio University(km),distanceToKogakuin University(km),distanceToKokugakuin University(km),distanceToKokushikan University(km),distanceToKomazawa University(km),distanceToKunitachi College of Music(km),distanceToKyorin University(km),distanceToKyoritsu Women's University(km),distanceToMeiji Gakuin University(km),distanceToMeiji University(km),distanceToMeisei University(km),distanceToMejiro University(km),distanceToMusashi University(km),distanceToMusashino Academia Musicae(km),distanceToMusashino Art University(km),distanceToMusashino University(km),distanceToNational Graduate Institute for Policy Studies(km),distanceToNihon Bunka University(km),distanceToNihon University(km),distanceToNippon Medical School(km),distanceToNippon Sport Science University(km),distanceToOchanomizu University(km),distanceToOtsuma Women's University(km),distanceToRikkyo University(km),distanceToRissho University(km),distanceToSeijo University(km),distanceToSeikei University(km),distanceToSeisen University(km),distanceToSenshu University(km),distanceToShibaura Institute of Technology(km),distanceToShowa Pharmaceutical University(km),distanceToShowa University(km),distanceToShowa Women's University(km),distanceToSophia University(km),distanceToSugino Fashion College(km),distanceToTaisho University(km),distanceToTakachiho University(km),distanceToTakushoku University(km),distanceToTama Art University(km),distanceToTama University(km),distanceToTamagawa University(km),distanceToTeikyo University(km),distanceToThe University of Tokyo(km),distanceToToho Gakuen School of Music(km),distanceToToho University(km),distanceToTokai University(km),distanceToTokyo City University(km),distanceToTokyo College of Music(km),distanceToTokyo Denki University(km),distanceToTokyo Fuji University(km),distanceToTokyo Future University(km),distanceToTokyo Gakugei University(km),distanceToTokyo Institute of Technology(km),distanceToTokyo Junshin University(km),distanceToTokyo Kasei University(km),distanceToTokyo Kasei-Gakuin University(km),distanceToTokyo Medical and Dental University(km),distanceToTokyo Medical University(km),distanceToTokyo Metropolitan University(km),distanceToTokyo University of Agriculture(km),distanceToTokyo University of Agriculture and Technology(km),distanceToTokyo University of Foreign Studies(km),distanceToTokyo University of Marine Science and Technology(km),distanceToTokyo University of Science(km),distanceToTokyo University of Technology(km),distanceToTokyo University of the Arts(km),distanceToTokyo Woman's Christian University(km),distanceToTokyo Women's Medical University(km),distanceToTokyo Zokei University(km),distanceToToyo Gakuen University(km),distanceToToyo University(km),distanceToUniversity of the Sacred Heart(km),distanceToWaseda University(km),owner
201,65000,13000,8.6,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,True,True,3116,https://tokyosharehouse.com//eng/house/detail/3116/,IkebukuroMejiroOtsuka,Couverture KitaotsukaⅡ	,3KitaotsukaToshima-kuTokyo,139.714222,35.736156,53000,11500,14,2,2,1,0,14.32,8.41,16.57,5.9,4.36,4.38,6.62,1.97,3.26,24.86,5.12,13.02,3.66,16.97,2.23,5.62,18.0,10.05,5.38,8.96,11.16,13.39,27.29,14.82,6.15,11.07,6.05,29.48,3.67,4.23,3.84,24.13,15.17,8.13,6.62,6.25,4.37,13.97,2.47,5.65,1.18,16.32,15.74,13.03,12.17,5.65,11.14,29.94,10.78,10.78,6.03,28.08,1.41,9.08,40.96,15.29,15.29,29.02,2.6,5.02,14.26,18.46,8.4,16.38,1.46,8.44,2.64,9.32,20.31,14.86,34.67,2.26,39.05,5.94,5.94,32.6,12.84,18.15,18.81,12.55,4.81,35.77,8.03,11.55,4.24,36.86,5.27,3.58,9.34,3.04,FOR.C Co. Ltd.
202,49000,13000,7.4,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,3116,https://tokyosharehouse.com//eng/house/detail/3116/,IkebukuroMejiroOtsuka,Couverture KitaotsukaⅡ	,3KitaotsukaToshima-kuTokyo,139.714222,35.736156,53000,11500,14,2,2,1,0,14.32,8.41,16.57,5.9,4.36,4.38,6.62,1.97,3.26,24.86,5.12,13.02,3.66,16.97,2.23,5.62,18.0,10.05,5.38,8.96,11.16,13.39,27.29,14.82,6.15,11.07,6.05,29.48,3.67,4.23,3.84,24.13,15.17,8.13,6.62,6.25,4.37,13.97,2.47,5.65,1.18,16.32,15.74,13.03,12.17,5.65,11.14,29.94,10.78,10.78,6.03,28.08,1.41,9.08,40.96,15.29,15.29,29.02,2.6,5.02,14.26,18.46,8.4,16.38,1.46,8.44,2.64,9.32,20.31,14.86,34.67,2.26,39.05,5.94,5.94,32.6,12.84,18.15,18.81,12.55,4.81,35.77,8.03,11.55,4.24,36.86,5.27,3.58,9.34,3.04,FOR.C Co. Ltd.
404,57000,13000,7.0,Female,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,True,True,3018,https://tokyosharehouse.com//eng/house/detail/3018/,IkebukuroMejiroOtsuka,M・K TOKYO,Takada 2-chome Toshima-ku Tokyo,139.7140038,35.7160319,48500,10500,23,4,5,1,1,12.31,6.18,16.25,3.82,3.92,3.24,8.46,0.5,1.02,24.52,3.32,10.78,2.5,16.39,0.6,4.45,17.9,7.91,3.32,6.72,9.28,11.54,27.33,13.96,4.66,8.86,4.75,28.77,2.96,4.79,4.72,24.13,15.03,5.93,8.46,5.02,4.13,11.97,1.58,3.81,1.99,14.09,15.38,12.73,9.95,4.18,9.58,28.46,8.69,8.69,3.93,27.36,3.19,7.79,40.35,13.33,13.33,27.62,4.84,4.24,13.0,16.22,6.31,14.3,0.78,9.08,1.25,9.78,20.05,12.66,34.42,4.46,38.29,4.82,4.82,31.77,11.07,17.76,18.1,10.4,3.17,35.05,8.68,11.2,2.04,36.1,4.15,3.4,7.11,0.92,Share Life Japan Inc.
405a,39000,8000,15.6,Female,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,True,True,3018,https://tokyosharehouse.com//eng/house/detail/3018/,IkebukuroMejiroOtsuka,M・K TOKYO,Takada 2-chome Toshima-ku Tokyo,139.7140038,35.7160319,48500,10500,23,4,5,1,1,12.31,6.18,16.25,3.82,3.92,3.24,8.46,0.5,1.02,24.52,3.32,10.78,2.5,16.39,0.6,4.45,17.9,7.91,3.32,6.72,9.28,11.54,27.33,13.96,4.66,8.86,4.75,28.77,2.96,4.79,4.72,24.13,15.03,5.93,8.46,5.02,4.13,11.97,1.58,3.81,1.99,14.09,15.38,12.73,9.95,4.18,9.58,28.46,8.69,8.69,3.93,27.36,3.19,7.79,40.35,13.33,13.33,27.62,4.84,4.24,13.0,16.22,6.31,14.3,0.78,9.08,1.25,9.78,20.05,12.66,34.42,4.46,38.29,4.82,4.82,31.77,11.07,17.76,18.1,10.4,3.17,35.05,8.68,11.2,2.04,36.1,4.15,3.4,7.11,0.92,Share Life Japan Inc.
207,61000,13000,8.0,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,2332,https://tokyosharehouse.com//eng/house/detail/2332/,IkebukuroMejiroOtsuka,Couverture Kita-Otsuka,3chomeKitaotsukaToshima-ku,139.714222,35.736156,64000,13000,10,1,2,1,1,14.32,8.41,16.57,5.9,4.36,4.38,6.62,1.97,3.26,24.86,5.12,13.02,3.66,16.97,2.23,5.62,18.0,10.05,5.38,8.96,11.16,13.39,27.29,14.82,6.15,11.07,6.05,29.48,3.67,4.23,3.84,24.13,15.17,8.13,6.62,6.25,4.37,13.97,2.47,5.65,1.18,16.32,15.74,13.03,12.17,5.65,11.14,29.94,10.78,10.78,6.03,28.08,1.41,9.08,40.96,15.29,15.29,29.02,2.6,5.02,14.26,18.46,8.4,16.38,1.46,8.44,2.64,9.32,20.31,14.86,34.67,2.26,39.05,5.94,5.94,32.6,12.84,18.15,18.81,12.55,4.81,35.77,8.03,11.55,4.24,36.86,5.27,3.58,9.34,3.04,FOR.C Co. Ltd.
210,64000,13000,10.6,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,2332,https://tokyosharehouse.com//eng/house/detail/2332/,IkebukuroMejiroOtsuka,Couverture Kita-Otsuka,3chomeKitaotsukaToshima-ku,139.714222,35.736156,64000,13000,10,1,2,1,1,14.32,8.41,16.57,5.9,4.36,4.38,6.62,1.97,3.26,24.86,5.12,13.02,3.66,16.97,2.23,5.62,18.0,10.05,5.38,8.96,11.16,13.39,27.29,14.82,6.15,11.07,6.05,29.48,3.67,4.23,3.84,24.13,15.17,8.13,6.62,6.25,4.37,13.97,2.47,5.65,1.18,16.32,15.74,13.03,12.17,5.65,11.14,29.94,10.78,10.78,6.03,28.08,1.41,9.08,40.96,15.29,15.29,29.02,2.6,5.02,14.26,18.46,8.4,16.38,1.46,8.44,2.64,9.32,20.31,14.86,34.67,2.26,39.05,5.94,5.94,32.6,12.84,18.15,18.81,12.55,4.81,35.77,8.03,11.55,4.24,36.86,5.27,3.58,9.34,3.04,FOR.C Co. Ltd.
301,54000,12000,6.37,Female,Available,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,2939,https://tokyosharehouse.com//eng/house/detail/2939/,IkebukuroMejiroOtsuka,Raveave Ikebukuro, 2-59-9 Ikebukuro Toshima-ku Tokyo,139.70713291587663,35.73395715,58000,12000,12,2,2,2,0,14.37,8.17,15.9,5.5,4.85,4.7,6.44,1.7,3.07,24.19,5.25,12.77,3.95,16.29,2.26,5.96,17.34,10.0,4.97,8.72,10.63,12.85,26.65,14.14,6.4,10.93,6.36,28.8,3.01,3.6,3.27,23.49,14.51,8.01,6.44,6.58,4.9,13.49,2.75,5.77,0.5,16.07,15.07,12.35,12.02,5.9,11.39,29.3,10.36,10.36,6.0,27.4,2.08,8.44,40.28,14.79,14.79,28.37,2.92,5.45,13.6,18.25,7.98,15.94,1.38,9.11,2.16,9.98,19.64,14.51,34.01,2.72,38.37,6.29,6.29,31.92,12.28,17.47,18.13,12.49,4.99,35.09,8.71,10.87,4.13,36.18,5.62,4.09,9.16,2.98,Ieno rule 
303,62000,12000,8.12,Female,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,2939,https://tokyosharehouse.com//eng/house/detail/2939/,IkebukuroMejiroOtsuka,Raveave Ikebukuro, 2-59-9 Ikebukuro Toshima-ku Tokyo,139.70713291587663,35.73395715,58000,12000,12,2,2,2,0,14.37,8.17,15.9,5.5,4.85,4.7,6.44,1.7,3.07,24.19,5.25,12.77,3.95,16.29,2.26,5.96,17.34,10.0,4.97,8.72,10.63,12.85,26.65,14.14,6.4,10.93,6.36,28.8,3.01,3.6,3.27,23.49,14.51,8.01,6.44,6.58,4.9,13.49,2.75,5.77,0.5,16.07,15.07,12.35,12.02,5.9,11.39,29.3,10.36,10.36,6.0,27.4,2.08,8.44,40.28,14.79,14.79,28.37,2.92,5.45,13.6,18.25,7.98,15.94,1.38,9.11,2.16,9.98,19.64,14.51,34.01,2.72,38.37,6.29,6.29,31.92,12.28,17.47,18.13,12.49,4.99,35.09,8.71,10.87,4.13,36.18,5.62,4.09,9.16,2.98,Ieno rule 
301,58000,13000,7.3,Both,Available,True,True,True,True,True,False,False,True,True,False,False,False,False,True,True,1821,https://tokyosharehouse.com//eng/house/detail/1821/,IkebukuroMejiroOtsuka,Couverture Sugamo,3chomeSugamo Toshima-ku Tokyo,139.7394273,35.7334119,63000,13000,26,4,4,2,0,13.27,8.51,18.76,6.69,2.32,2.9,8.44,3.14,3.77,27.05,4.23,12.96,2.43,19.06,2.51,3.95,20.24,9.41,6.23,9.01,12.22,14.49,29.56,16.78,4.74,10.69,4.46,31.53,5.56,6.52,6.14,26.4,17.4,7.82,8.44,4.58,2.22,14.81,1.79,4.73,3.33,16.26,17.91,15.21,11.83,4.27,9.54,31.46,11.45,11.45,5.54,30.13,1.46,10.74,43.06,16.21,16.21,30.61,3.67,3.13,15.96,18.19,9.12,17.04,2.54,6.28,4.07,7.09,22.51,15.17,36.89,2.99,41.08,4.2,4.2,34.6,14.05,20.31,20.85,11.89,3.77,37.82,5.87,13.71,4.26,38.89,3.61,1.5,9.2,3.23,FOR.C Co. Ltd.
107,56000,12000,7.6,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,3318,https://tokyosharehouse.com//eng/house/detail/3318/,IkebukuroMejiroOtsuka,Flat Share KITAIKEBUKURO Port,Tokyo Toshima-ku Ikebukurohoncho 4,139.71475110804772,35.7406128,57000,12000,34,4,8,0,0,14.75,8.91,16.73,6.39,4.57,4.71,6.27,2.47,3.76,25.01,5.54,13.51,4.01,17.18,2.7,5.93,18.1,10.52,5.87,9.45,11.61,13.83,27.35,15.09,6.51,11.55,6.38,29.7,4.01,4.3,3.85,24.21,15.29,8.62,6.27,6.57,4.54,14.44,2.85,6.08,1.51,16.82,15.91,13.19,12.66,6.01,11.49,30.31,11.27,11.27,6.5,28.3,1.19,9.45,41.15,15.75,15.75,29.38,2.1,5.28,14.6,18.95,8.89,16.86,1.95,8.33,3.1,9.24,20.44,15.35,34.79,1.77,39.28,6.24,6.24,32.85,13.27,18.31,19.04,13.02,5.21,35.99,7.93,11.73,4.72,37.09,5.58,3.76,9.84,3.52,FlatShare 
